"age","workclass","fnlwgt","education","education_cat","marital_status","occupation","relationship","race","gender","capital_gain","capital_loss","hour_per_week","native_country","class"
"26644",40," Local-gov",202872," Masters",14," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,40," United-States"," >50K"
"8865",33," Self-emp-not-inc",202729," Bachelors",13," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," >50K"
"24113",59," Private",169639," Assoc-acdm",12," Widowed"," Exec-managerial"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
"30869",35," Private",226311," Bachelors",13," Never-married"," Sales"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
"2609",23," Private",203240," Some-college",10," Never-married"," Other-service"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
"27352",46," Private",157991," Assoc-voc",11," Divorced"," Tech-support"," Unmarried"," Black"," Female",0,625,40," United-States"," <=50K"
"25683",30," Private",229051," 9th",5," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,37," United-States"," <=50K"
"12331",59," Self-emp-not-inc",70623," 7th-8th",4," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,85," United-States"," <=50K"
"10487",20," ?",346341," Some-college",10," Never-married"," ?"," Not-in-family"," White"," Female",0,0,35," United-States"," <=50K"
"6561",26," State-gov",203279," Prof-school",15," Never-married"," Prof-specialty"," Not-in-family"," Asian-Pac-Islander"," Male",2463,0,50," India"," <=50K"
"18226",22," Private",67234," HS-grad",9," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,60," United-States"," <=50K"
"28425",18," Private",761006," 11th",7," Never-married"," Other-service"," Own-child"," White"," Female",0,0,20," United-States"," <=50K"
"16955",42," Local-gov",99554," Some-college",10," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"18787",34," Private",226629," HS-grad",9," Never-married"," Priv-house-serv"," Not-in-family"," White"," Female",0,0,40," Mexico"," <=50K"
"21307",20," Private",151780," Assoc-voc",11," Never-married"," Sales"," Not-in-family"," Black"," Female",0,0,35," United-States"," <=50K"
"16959",42," Private",193995," Some-college",10," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,38," United-States"," <=50K"
"16317",25," Private",148300," Bachelors",13," Never-married"," Prof-specialty"," Own-child"," White"," Female",0,0,15," United-States"," <=50K"
"518",20," ?",214635," Some-college",10," Never-married"," ?"," Own-child"," White"," Male",0,0,24," United-States"," <=50K"
"1527",33," Private",159322," HS-grad",9," Divorced"," Other-service"," Unmarried"," White"," Male",0,0,40," United-States"," <=50K"
"29740",33," State-gov",150657," Bachelors",13," Never-married"," Prof-specialty"," Other-relative"," Black"," Female",0,0,40," United-States"," <=50K"
"24617",41," Private",55854," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,56," United-States"," >50K"
"6435",54," Private",199307," Some-college",10," Divorced"," Craft-repair"," Unmarried"," White"," Female",0,0,48," United-States"," <=50K"
"20807",54," Self-emp-inc",129432," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",15024,0,40," United-States"," >50K"
"20918",52," Private",98588," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"12647",28," Private",216814," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," Black"," Male",0,0,40," United-States"," <=50K"
"25989",35," Private",198841," Assoc-voc",11," Divorced"," Tech-support"," Own-child"," White"," Male",0,0,35," United-States"," <=50K"
"17501",53," Self-emp-not-inc",100109," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1977,40," United-States"," >50K"
"28318",38," Private",283293," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," Black"," Male",0,0,40," United-States"," <=50K"
"32535",37," Private",179137," Some-college",10," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,39," United-States"," <=50K"
"28985",24," Private",181820," Some-college",10," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
"18793",39," Private",175232," Some-college",10," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
"13546",31," Private",487742," Some-college",10," Separated"," Sales"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
"30375",42," State-gov",121265," Masters",14," Divorced"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"22680",47," Self-emp-not-inc",88500," HS-grad",9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,35," United-States"," <=50K"
"13220",62," Self-emp-not-inc",136684," HS-grad",9," Widowed"," Adm-clerical"," Other-relative"," White"," Female",0,0,30," United-States"," <=50K"
"588",18," Private",156764," 11th",7," Never-married"," Other-service"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
"18126",33," Self-emp-not-inc",48702," Assoc-voc",11," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,65," United-States"," <=50K"
"32457",30," Self-emp-not-inc",261943," 11th",7," Married-spouse-absent"," Craft-repair"," Not-in-family"," White"," Male",0,0,30," Honduras"," <=50K"
"28101",58," Private",81038," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,12," United-States"," <=50K"
"25996",69," Self-emp-not-inc",58213," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",20051,0,45," United-States"," >50K"
"27314",42," Private",184682," Assoc-voc",11," Divorced"," Tech-support"," Not-in-family"," White"," Female",0,0,30," United-States"," <=50K"
"11765",46," Private",123053," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," Asian-Pac-Islander"," Male",0,0,50," Japan"," >50K"
"27947",33," Self-emp-not-inc",37939," Bachelors",13," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,35," United-States"," <=50K"
"4840",24," Private",64167," Assoc-voc",11," Never-married"," Tech-support"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
"9011",22," Private",123876," Some-college",10," Never-married"," Other-service"," Own-child"," White"," Female",0,0,20," United-States"," <=50K"
"21318",47," Private",207140," HS-grad",9," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,38," United-States"," <=50K"
"31250",34," Private",347166," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"18632",46," Private",163021," HS-grad",9," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
"16836",73," ?",84390," Assoc-voc",11," Married-spouse-absent"," ?"," Not-in-family"," White"," Female",0,0,32," United-States"," <=50K"
"1944",46," Private",243190," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",7688,0,40," United-States"," >50K"
"30980",41," Private",359696," Bachelors",13," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",15024,0,60," United-States"," >50K"
"3844",20," ?",34862," Some-college",10," Never-married"," ?"," Own-child"," Amer-Indian-Eskimo"," Male",0,0,72," United-States"," <=50K"
"2825",39," Private",548510," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," Black"," Male",0,0,30," United-States"," <=50K"
"28155",31," Private",594187," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"16251",22," Private",243842," 9th",5," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
"10788",76," Private",116202," HS-grad",9," Widowed"," Other-service"," Unmarried"," White"," Female",0,0,33," United-States"," <=50K"
"28586",38," Private",167440," Bachelors",13," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",4508,0,40," United-States"," <=50K"
"1022",48," Local-gov",123075," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,35," United-States"," >50K"
"7583",32," Self-emp-not-inc",170108," HS-grad",9," Separated"," Sales"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"
"21941",34," Private",381153," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"7217",19," Private",266635," HS-grad",9," Never-married"," Other-service"," Own-child"," Black"," Male",0,0,30," United-States"," <=50K"
"10179",43," Private",173316," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"5561",27," Private",292472," Some-college",10," Married-civ-spouse"," Prof-specialty"," Husband"," Asian-Pac-Islander"," Male",0,0,40," Cambodia"," >50K"
"25611",57," Self-emp-not-inc",225913," Some-college",10," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,45," United-States"," >50K"
"4675",62," Self-emp-not-inc",123170," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,10," United-States"," <=50K"
"26290",34," Private",209449," Some-college",10," Married-civ-spouse"," Tech-support"," Husband"," Black"," Male",0,0,40," United-States"," >50K"
"10577",51," Private",102615," Masters",14," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,1977,40," United-States"," >50K"
"11956",44," Self-emp-inc",151089," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1887,70," United-States"," >50K"
"20121",68," Local-gov",233954," Masters",14," Widowed"," Prof-specialty"," Unmarried"," Black"," Female",0,0,40," United-States"," >50K"
"3088",46," Local-gov",102076," HS-grad",9," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,25," United-States"," <=50K"
"703",21," Private",163870," Some-college",10," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,30," United-States"," <=50K"
"31726",30," Private",147596," Some-college",10," Divorced"," Adm-clerical"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
"18656",21," ?",170070," Some-college",10," Never-married"," ?"," Not-in-family"," White"," Female",0,0,10," United-States"," <=50K"
"24977",25," Private",181598," 11th",7," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"28492",49," Private",116789," HS-grad",9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"24114",37," Private",105803," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",3103,0,45," United-States"," >50K"
"31279",49," Private",122206," Assoc-voc",11," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,25," United-States"," <=50K"
"1411",48," Private",329778," HS-grad",9," Widowed"," Other-service"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
"28856",21," ?",170272," Some-college",10," Never-married"," ?"," Own-child"," White"," Female",0,0,25," United-States"," <=50K"
"27645",56," Local-gov",273084," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," Black"," Male",0,0,40," United-States"," >50K"
"24766",37," Private",89559," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,40," United-States"," <=50K"
"12035",35," Private",228493," Some-college",10," Never-married"," Sales"," Own-child"," White"," Male",0,0,48," United-States"," <=50K"
"1345",26," Private",195105," HS-grad",9," Never-married"," Sales"," Not-in-family"," Other"," Male",0,0,40," United-States"," <=50K"
"11638",51," Private",63685," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," Asian-Pac-Islander"," Male",0,0,50," Cambodia"," <=50K"
"8743",50," Private",108435," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",99999,0,60," United-States"," >50K"
"27159",21," Private",180339," Some-college",10," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",0,0,45," United-States"," <=50K"
"11573",29," Private",218785," Some-college",10," Married-civ-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,65," United-States"," <=50K"
"9723",52," Private",329733," Some-college",10," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"24240",35," Private",168322," 11th",7," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"26976",63," Private",30813," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States"," >50K"
"14621",56," Self-emp-not-inc",84774," Assoc-acdm",12," Married-civ-spouse"," Farming-fishing"," Wife"," White"," Female",0,0,40," United-States"," <=50K"
"23296",39," Self-emp-not-inc",154641," HS-grad",9," Divorced"," Farming-fishing"," Not-in-family"," White"," Male",8614,0,50," United-States"," >50K"
"3323",37," Private",409189," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,45," United-States"," <=50K"
"7024",50," Private",400630," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,36," United-States"," >50K"
"30455",36," Private",255454," HS-grad",9," Never-married"," Craft-repair"," Own-child"," Black"," Male",0,0,30," United-States"," <=50K"
"24009",44," Self-emp-not-inc",282722," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",99999,0,50," United-States"," >50K"
"26144",34," ?",35595," Bachelors",13," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,30," United-States"," <=50K"
"13337",47," Self-emp-not-inc",28035," Some-college",10," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,86," United-States"," <=50K"
"18956",37," Self-emp-not-inc",36214," Bachelors",13," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,65," United-States"," >50K"
"25499",53," Self-emp-not-inc",101017," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,35," United-States"," <=50K"
"28358",35," Private",244803," HS-grad",9," Never-married"," Handlers-cleaners"," Other-relative"," White"," Male",0,0,40," Peru"," <=50K"
"12295",38," Private",195744," Bachelors",13," Never-married"," Other-service"," Not-in-family"," White"," Male",0,0,48," United-States"," <=50K"
"2883",53," Private",196328," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," Black"," Male",0,0,40," United-States"," <=50K"
"19972",27," Private",144133," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Other-relative"," White"," Male",0,0,50," United-States"," <=50K"
"23797",30," Private",361742," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
"2725",45," Local-gov",224474," Bachelors",13," Divorced"," Prof-specialty"," Unmarried"," White"," Female",4934,0,50," United-States"," >50K"
"9591",47," Private",159550," HS-grad",9," Divorced"," Adm-clerical"," Not-in-family"," Black"," Female",0,0,40," United-States"," <=50K"
"19612",39," Private",70240," Some-college",10," Married-civ-spouse"," Sales"," Wife"," Asian-Pac-Islander"," Female",0,0,40," Philippines"," <=50K"
"24027",49," Local-gov",98738," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," >50K"
"29264",41," Self-emp-inc",230168," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,91," United-States"," <=50K"
"15181",25," Private",356017," 11th",7," Never-married"," Other-service"," Not-in-family"," White"," Male",0,0,99," United-States"," <=50K"
"18096",68," Private",159191," Some-college",10," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
"23504",39," Private",315565," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," Black"," Male",0,0,40," Cuba"," <=50K"
"27358",37," Local-gov",247750," Assoc-voc",11," Married-civ-spouse"," Protective-serv"," Husband"," Black"," Male",0,0,40," United-States"," <=50K"
"29007",67," Self-emp-not-inc",431426," Assoc-acdm",12," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",20051,0,4," United-States"," >50K"
"1799",50," Federal-gov",159670," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," >50K"
"16045",58," Private",316235," HS-grad",9," Divorced"," Sales"," Other-relative"," White"," Female",0,0,32," United-States"," <=50K"
"11184",40," Private",187376," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,60," United-States"," >50K"
"26975",48," Private",128460," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,42," United-States"," >50K"
"25726",32," Private",53206," Bachelors",13," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,50," United-States"," >50K"
"3743",30," Private",173647," Some-college",10," Divorced"," Transport-moving"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"22734",49," Private",43348," Masters",14," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," United-States"," >50K"
"7505",26," Private",515025," 10th",6," Married-civ-spouse"," Handlers-cleaners"," Wife"," White"," Female",0,0,40," United-States"," <=50K"
"2391",30," Self-emp-inc",78530," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,65," Canada"," >50K"
"29843",35," ?",374716," 9th",5," Married-civ-spouse"," ?"," Wife"," White"," Female",0,0,35," United-States"," <=50K"
"5013",33," State-gov",79440," Masters",14," Never-married"," Prof-specialty"," Not-in-family"," Asian-Pac-Islander"," Male",0,0,30," Japan"," <=50K"
"20637",23," Private",151888," HS-grad",9," Divorced"," Craft-repair"," Not-in-family"," White"," Male",4650,0,50," Ireland"," <=50K"
"5534",26," Private",164583," HS-grad",9," Divorced"," Sales"," Unmarried"," White"," Female",0,0,30," United-States"," <=50K"
"641",26," Private",75654," HS-grad",9," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,55," United-States"," <=50K"
"16625",33," Private",120201," HS-grad",9," Divorced"," Adm-clerical"," Own-child"," Other"," Female",0,0,65," United-States"," <=50K"
"2752",55," ?",205527," HS-grad",9," Divorced"," ?"," Not-in-family"," White"," Male",0,0,20," United-States"," <=50K"
"9025",51," Self-emp-not-inc",132341," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,45," United-States"," >50K"
"13407",47," Private",131002," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States"," >50K"
"18726",90," Local-gov",153602," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",6767,0,40," United-States"," <=50K"
"25722",40," Private",244945," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"6441",24," Self-emp-not-inc",161508," HS-grad",9," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,50," United-States"," <=50K"
"14648",20," Private",137300," Assoc-voc",11," Never-married"," Machine-op-inspct"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
"14288",55," Local-gov",286967," 10th",6," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,45," United-States"," <=50K"
"23393",32," Private",237478," 11th",7," Divorced"," Machine-op-inspct"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
"22787",27," ?",204074," HS-grad",9," Never-married"," ?"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"26499",61," Federal-gov",229062," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,1887,40," United-States"," >50K"
"28262",45," Self-emp-not-inc",315984," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",7688,0,50," United-States"," >50K"
"30368",18," Private",337046," 10th",6," Never-married"," Other-service"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
"17552",39," Private",154641," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,45," United-States"," >50K"
"16650",39," Local-gov",132879," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,1887,40," United-States"," >50K"
"5441",35," ?",476573," HS-grad",9," Never-married"," ?"," Not-in-family"," White"," Female",0,0,4," United-States"," <=50K"
"15276",25," Private",161027," Bachelors",13," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",5178,0,40," United-States"," >50K"
"8090",51," Federal-gov",40808," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," Amer-Indian-Eskimo"," Female",0,0,43," United-States"," <=50K"
"1268",50," Self-emp-not-inc",343748," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,35," United-States"," <=50K"
"20232",54," Private",222020," 10th",6," Divorced"," Other-service"," Not-in-family"," White"," Male",0,0,70," United-States"," <=50K"
"17196",23," Private",50953," Some-college",10," Never-married"," Priv-house-serv"," Own-child"," White"," Female",0,0,10," United-States"," <=50K"
"4465",73," ?",132737," 10th",6," Never-married"," ?"," Not-in-family"," White"," Male",0,0,4," United-States"," <=50K"
"9042",50," Private",34832," Bachelors",13," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",15024,0,40," United-States"," >50K"
"18579",30," Private",210906," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Other-relative"," White"," Female",0,0,40," United-States"," <=50K"
"5259",20," Private",309580," HS-grad",9," Never-married"," Adm-clerical"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
"3069",34," Private",232475," Some-college",10," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"
"13657",30," Local-gov",101345," HS-grad",9," Separated"," Other-service"," Unmarried"," White"," Female",0,0,26," United-States"," <=50K"
"11336",50," Private",189811," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"
"26921",41," Federal-gov",207685," Bachelors",13," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",0,0,40," United-States"," >50K"
"8288",46," Private",504725," 5th-6th",3," Separated"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,50," Mexico"," <=50K"
"738",43," State-gov",260960," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
"27475",30," Private",108386," Assoc-acdm",12," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"10659",57," Private",112840," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,50," United-States"," >50K"
"20127",37," Private",86551," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States"," >50K"
"17407",37," Private",78928," 9th",5," Married-civ-spouse"," Other-service"," Husband"," White"," Male",3137,0,40," United-States"," <=50K"
"11992",29," Private",78261," Prof-school",15," Never-married"," Prof-specialty"," Own-child"," White"," Male",0,0,50," United-States"," <=50K"
"5921",22," Private",187538," 10th",6," Separated"," Other-service"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
"13663",62," Private",88579," HS-grad",9," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",0,0,38," United-States"," <=50K"
"20091",63," Self-emp-not-inc",404547," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,30," United-States"," <=50K"
"16589",70," Self-emp-not-inc",36311," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",20051,0,35," United-States"," >50K"
"21009",23," Private",117789," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,60," United-States"," <=50K"
"23229",49," ?",171411," 9th",5," Divorced"," ?"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"15504",51," Private",155403," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Wife"," Black"," Female",0,0,40," United-States"," <=50K"
"12244",55," Private",188917," HS-grad",9," Divorced"," Handlers-cleaners"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
"218",38," Private",182609," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,50," Poland"," <=50K"
"118",49," Local-gov",197371," Assoc-voc",11," Married-civ-spouse"," Craft-repair"," Husband"," Black"," Male",0,0,40," United-States"," >50K"
"31682",43," Private",266324," HS-grad",9," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,1902,99," United-States"," >50K"
"3436",50," Private",93690," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," United-States"," >50K"
"13331",64," Private",221343," 1st-4th",2," Divorced"," Priv-house-serv"," Not-in-family"," White"," Female",0,0,12," United-States"," <=50K"
"22858",17," Local-gov",340043," 12th",8," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,12," United-States"," <=50K"
"23642",55," State-gov",296991," Prof-school",15," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",15024,0,40," United-States"," >50K"
"27763",36," Private",156352," 9th",5," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
"19353",23," Private",259109," Assoc-acdm",12," Married-civ-spouse"," Other-service"," Wife"," White"," Female",0,0,40," Puerto-Rico"," <=50K"
"24075",42," Local-gov",46094," Bachelors",13," Divorced"," Transport-moving"," Not-in-family"," White"," Male",0,0,33," United-States"," <=50K"
"26972",38," Private",255621," HS-grad",9," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"19508",48," State-gov",201177," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," Black"," Male",0,0,40," United-States"," >50K"
"25251",36," Private",186035," 11th",7," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",5178,0,40," United-States"," >50K"
"728",20," Private",299047," Some-college",10," Never-married"," Other-service"," Not-in-family"," White"," Female",0,0,20," United-States"," <=50K"
"13271",41," Private",101593," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",15024,0,50," United-States"," >50K"
"27848",36," Private",156084," HS-grad",9," Never-married"," Sales"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
"20605",23," Private",189924," Some-college",10," Never-married"," Other-service"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
"29425",44," Local-gov",151089," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"5482",19," Self-emp-not-inc",30800," 10th",6," Married-spouse-absent"," Adm-clerical"," Unmarried"," Amer-Indian-Eskimo"," Female",0,0,40," United-States"," <=50K"
"10052",32," Self-emp-inc",191385," Doctorate",16," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,77," United-States"," <=50K"
"25596",50," Self-emp-inc",304955," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,60," United-States"," >50K"
"31473",27," Private",184477," 12th",8," Never-married"," Other-service"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"10260",45," Private",170099," Some-college",10," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
"38",19," Private",544091," HS-grad",9," Married-AF-spouse"," Adm-clerical"," Wife"," White"," Female",0,0,25," United-States"," <=50K"
"31572",48," Private",185079," HS-grad",9," Never-married"," Exec-managerial"," Not-in-family"," White"," Female",0,0,50," United-States"," <=50K"
"4721",79," Self-emp-not-inc",158319," HS-grad",9," Widowed"," Other-service"," Not-in-family"," White"," Female",0,0,24," United-States"," <=50K"
"1571",19," ?",62534," Bachelors",13," Never-married"," ?"," Own-child"," Black"," Female",0,0,40," Jamaica"," <=50K"
"19007",42," Private",230684," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",5178,0,50," United-States"," >50K"
"10224",27," Self-emp-not-inc",243569," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
"16797",48," Private",83444," Assoc-voc",11," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,43," United-States"," >50K"
"25307",56," Federal-gov",277420," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," Puerto-Rico"," >50K"
"2194",30," Private",488720," 9th",5," Married-civ-spouse"," Handlers-cleaners"," Other-relative"," White"," Male",0,0,40," Mexico"," <=50K"
"22111",46," Local-gov",297759," Some-college",10," Divorced"," Tech-support"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
